yr jday month day hour minute sec lat lon depth magnitude moment RMS erh erz npicks id dbid
2014 271 09 28 18 26 41.947 43.72460 -121.30808  1.057 0.024 1.2191e+16 0.03  0.44  0.50 11 140928182641 151
2014 272 09 29 01 11  0.001 43.72440 -121.30837  1.215 0.063 1.3957e+16 0.01  0.43  0.74 10 140929011100 152
2014 272 09 29 09 57 54.187 43.71980 -121.31587  1.874 0.794 1.7414e+17 0.12  0.36  0.53 17 140929095754 153
2014 272 09 29 12 12 31.886 43.72415 -121.31063  1.300 0.336 3.5802e+16 0.04  0.44  0.54 12 140929121231 154
2014 272 09 29 18 03 37.746 43.72507 -121.31078  1.322 0.637 1.0132e+17 0.04  0.34  0.43 16 140929180337 155
2014 272 09 29 23 21 35.332 43.72750 -121.30963  1.223 0.105 1.6104e+16 0.01  0.48  0.74 09 140929232135 156
2014 273 09 30 05 45  4.618 43.72615 -121.30927  1.140 -0.021 1.0438e+16 0.01  0.42  0.64 10 140930054504 157
2014 273 09 30 06 45  0.903 43.72480 -121.30775  1.148 0.480 5.8842e+16 0.01  0.38  0.67 11 140930064500 158
2014 273 09 30 09 23 48.800 43.72615 -121.31062  1.194 0.821 1.9150e+17 0.03  0.27  0.46 17 140930092348 159
2014 273 09 30 15 35 52.524 43.72548 -121.30932  0.912 0.245 2.6185e+16 0.02  0.40  0.51 11 140930153552 160
2014 273 09 30 19 29 44.818 43.72578 -121.30833  1.046 0.181 2.0999e+16 0.01  0.43  0.60 10 140930192944 161
2014 273 09 30 20 13 48.176 43.72515 -121.30918  0.655 0.282 2.9682e+16 0.01  0.44  0.72 09 140930201348 162
2014 273 09 30 21 09 48.909 43.73535 -121.31987  0.120 -0.143 6.8507e+15 0.04  0.38  1.01 07 140930210949 163
2014 273 09 30 21 30 43.570 43.72665 -121.31235  1.308 0.998 3.5235e+17 0.07  0.35  0.42 15 140930213043 164
2014 273 09 30 21 36 36.420 43.72458 -121.30890  0.916 0.332 3.5285e+16 0.03  0.37  0.56 11 140930213636 165
2014 273 09 30 22 12 13.750 43.72630 -121.30913  0.915 0.170 2.0200e+16 0.02  0.62  1.56 06 140930221213 166
2014 273 09 30 22 20 17.392 43.72543 -121.30977  0.664 0.222 2.4148e+16 0.01  0.45  0.66 08 140930222017 167
2014 273 09 30 23 01 25.125 43.72583 -121.30863  1.210 0.086 1.5115e+16 0.02  0.44  0.58 10 140930230125 168
2014 273 09 30 23 55 21.753 43.72602 -121.31147  1.303 0.481 5.9182e+16 0.03  0.28  0.43 17 140930235521 169
2014 274 10 01 00 18 27.880 43.72512 -121.30813  0.840 0.135 1.7861e+16 0.02  0.39  0.51 11 141001001827 170
2014 274 10 01 01 03 14.644 43.72523 -121.31150  0.611 0.976 3.2693e+17 0.03  0.30  0.41 14 141001010314 171
2014 274 10 01 02 43 59.037 43.72420 -121.30923  1.273 -0.005 1.1016e+16 0.02  0.34  0.46 14 141001024359 172
2014 274 10 01 04 49 51.368 43.72880 -121.31025  0.859 0.011 1.1657e+16 0.05  0.29  0.44 14 141001044951 173
2014 274 10 01 05 22  3.058 43.72568 -121.31052  0.873 0.028 1.2371e+16 0.02  0.37  0.54 11 141001052203 174
2014 274 10 01 05 25 38.345 43.72618 -121.30750  0.838 0.175 2.0506e+16 0.05  0.32  0.44 13 141001052538 175
2014 274 10 01 05 26 23.692 43.72748 -121.31112  0.482 -0.186 5.8957e+15 0.04  0.35  0.58 10 141001052623 176
2014 274 10 01 05 33 34.316 43.72587 -121.31050  0.808 0.058 1.3690e+16 0.02  0.36  0.48 12 141001053334 177
2014 274 10 01 05 34 12.320 43.72677 -121.30937  0.795 0.094 1.5550e+16 0.02  0.41  0.61 09 141001053412 178
2014 274 10 01 05 37 13.400 43.72685 -121.30892  0.697 0.074 1.4467e+16 0.02  0.29  0.48 14 141001053713 179
2014 274 10 01 05 41 55.038 43.72628 -121.30937  0.754 0.250 2.6617e+16 0.01  0.38  0.55 10 141001054155 180
2014 274 10 01 05 58 29.409 43.72593 -121.30902  1.117 0.019 1.1998e+16 0.01  0.44  0.88 08 141001055829 181
2014 274 10 01 06 02 30.840 43.72655 -121.31110  0.433 0.258 2.7314e+16 0.03  0.31  0.47 11 141001060231 182
2014 274 10 01 06 59  0.860 43.72578 -121.30877  1.040 0.219 2.3915e+16 0.01  0.50  0.66 09 141001065901 183
2014 274 10 01 08 01 31.651 43.72585 -121.31090  0.806 -0.042 9.7075e+15 0.03  0.40  0.51 10 141001080131 184
2014 274 10 01 08 08 58.156 43.72503 -121.30997  1.148 0.849 2.1064e+17 0.03  0.29  0.42 17 141001080858 185
2014 274 10 01 08 19 57.099 43.72592 -121.31068  0.744 0.397 4.4209e+16 0.03  0.36  0.42 12 141001081957 186
2014 274 10 01 08 44  6.906 43.72793 -121.30812  0.780 0.004 1.1386e+16 0.10  0.30  0.59 11 141001084406 187
2014 274 10 01 08 49 42.973 43.72473 -121.31025  0.726 0.889 2.4167e+17 0.03  0.26  0.50 15 141001084943 188
2014 274 10 01 08 50 35.985 43.72605 -121.31125  1.027 0.252 2.6776e+16 0.03  0.37  0.56 12 141001085035 189
2014 274 10 01 09 00 39.410 43.72488 -121.31185  1.438 0.395 4.3885e+16 0.08  0.34  0.52 15 141001090039 190
2014 274 10 01 09 55 59.271 43.72473 -121.30945  1.063 -0.011 1.0784e+16 0.03  0.52  1.43 07 141001095559 191
2014 274 10 01 10 35 44.111 43.72652 -121.30982  0.582 0.096 1.5616e+16 0.01  0.33  0.47 12 141001103544 192
2014 274 10 01 10 50 55.301 43.72628 -121.31088  0.928 0.815 1.8747e+17 0.04  0.27  0.39 17 141001105055 193
2014 274 10 01 12 03 16.869 43.72395 -121.31048  1.139 1.077 4.6254e+17 0.03  0.24  0.41 18 141001120316 194
2014 274 10 01 12 14 55.901 43.72253 -121.31383  1.406 0.338 3.6000e+16 0.13  0.33  0.42 15 141001121455 195
2014 274 10 01 12 32 38.135 43.72722 -121.31437  0.851 0.316 3.3374e+16 0.07  0.27  0.47 15 141001123238 196
2014 274 10 01 12 51 13.390 43.72612 -121.30893  1.166 -0.013 1.0728e+16 0.02  0.32  0.50 13 141001125113 197
2014 274 10 01 13 18 41.022 43.72500 -121.30995  1.318 0.094 1.5522e+16 0.01  0.46  0.73 09 141001131840 198
2014 274 10 01 13 53 28.313 43.72705 -121.30980  1.389 -0.030 1.0106e+16 0.03  0.36  0.52 12 141001135328 199
2014 274 10 01 14 21  2.479 43.72603 -121.30790  1.007 0.124 1.7190e+16 0.02  0.43  0.52 11 141001142102 200
2014 274 10 01 14 53  5.096 43.72578 -121.31257  0.684 1.369 1.2692e+18 0.04  0.30  0.45 17 141001145305 201
2014 274 10 01 14 58  1.418 43.72615 -121.30940  0.820 0.206 2.2822e+16 0.02  0.33  0.56 12 141001145801 202
2014 274 10 01 14 58  9.213 43.72675 -121.30902  0.761 0.042 1.2988e+16 0.01  0.67  1.31 06 141001145809 203
2014 274 10 01 15 01 55.095 43.72647 -121.31118  0.716 0.651 1.0641e+17 0.03  0.31  0.48 14 141001150155 204
2014 274 10 01 16 56 11.311 43.72142 -121.30635  1.339 1.616 2.9820e+18 0.05  0.55  0.69 08 141001165611 205
2014 274 10 01 17 21 27.459 43.72483 -121.30820  0.853 0.181 2.0971e+16 0.03  0.40  0.60 11 141001172127 206
2014 274 10 01 17 28  9.664 43.72687 -121.30883  0.481 -0.004 1.1049e+16 0.01  0.39  0.76 09 141001172809 207
2014 274 10 01 18 11 50.031 43.72623 -121.31020  0.917 -0.015 1.0652e+16 0.02  0.35  0.49 12 141001181150 208
2014 274 10 01 19 05 16.353 43.72568 -121.31168  0.713 1.268 8.9499e+17 0.04  0.31  0.50 15 141001190516 209
2014 274 10 01 20 15 38.270 43.72858 -121.30632 -1.500 -0.199 5.6339e+15 0.08  0.22  6.11 09 141001201538 210
2014 274 10 01 20 47 39.675 43.72660 -121.31098  1.107 0.509 6.5148e+16 0.22  0.41  0.58 13 141001204739 211
2014 274 10 01 21 29 35.385 43.70088 -121.32233  2.195 0.599 8.8876e+16 0.16  0.42  0.73 11 141001212935 212
2014 274 10 01 22 13 54.197 43.72562 -121.30205  1.130 0.593 8.6885e+16 0.16  0.41  0.58 12 141001221354 213
2014 275 10 02 02 10 14.334 43.72680 -121.30972  0.950 0.127 1.7395e+16 0.01  0.43  0.81 09 141002021014 214
2014 275 10 02 03 53 12.120 43.72540 -121.31173  0.975 0.283 2.9785e+16 0.03  0.32  0.46 14 141002035312 215
2014 275 10 02 03 56 59.386 43.72192 -121.31528  1.208 0.734 1.4173e+17 0.11  0.23  0.42 18 141002035659 216
2014 275 10 02 04 09 59.252 43.72610 -121.31027  1.270 -0.017 1.0597e+16 0.01  0.43  0.85 08 141002040959 217
2014 275 10 02 05 19 50.182 43.72732 -121.31107  0.742 0.306 3.2243e+16 0.02  0.40  0.65 10 141002051950 218
2014 275 10 02 05 38 45.580 43.72518 -121.30862  0.870 0.304 3.2008e+16 0.01  0.44  0.66 10 141002053845 219
2014 275 10 02 05 44 21.514 43.72760 -121.30995  0.748 -0.023 1.0361e+16 0.02  0.36  0.51 11 141002054421 220
2014 275 10 02 06 38 47.451 43.72602 -121.31248  0.907 0.811 1.8441e+17 0.03  0.31  0.47 16 141002063847 221
2014 275 10 02 06 47 52.831 43.72292 -121.31160  1.494 1.145 5.8598e+17 0.11  0.25  0.38 19 141002064752 222
2014 275 10 02 07 07 11.694 43.72500 -121.31350  0.433 1.229 7.8293e+17 0.05  0.22  0.32 20 141002070711 223
2014 275 10 02 07 21 48.560 43.71790 -121.32222  2.392 0.629 9.8568e+16 0.18  0.40  0.60 15 141002072148 224
2014 275 10 02 08 07 44.265 43.72610 -121.31353  0.816 0.221 2.4088e+16 0.08  0.34  0.53 12 141002080744 225
2014 275 10 02 08 28  7.304 43.72548 -121.30995  1.212 0.059 1.3769e+16 0.02  0.32  0.42 14 141002082807 226
2014 275 10 02 09 02 33.394 43.72565 -121.30972  1.293 0.200 2.2413e+16 0.02  0.32  0.47 14 141002090233 227
2014 275 10 02 09 03 53.300 43.72642 -121.31077  1.206 0.490 6.0979e+16 0.03  0.28  0.45 16 141002090353 228
2014 275 10 02 09 11 44.902 43.72668 -121.30942  1.109 0.013 1.1732e+16 0.02  0.32  0.42 14 141002091144 229
2014 275 10 02 10 13 43.604 43.72632 -121.30867  0.892 0.177 2.0706e+16 0.04  0.32  0.46 14 141002101343 230
2014 275 10 02 11 01 48.098 43.72677 -121.31265  0.290 1.080 4.6718e+17 0.05  0.19  0.36 19 141002110148 231
2014 275 10 02 12 06 44.442 43.72590 -121.30940  1.120 0.032 1.2532e+16 0.01  0.38  0.55 11 141002120644 232
2014 275 10 02 12 39  9.175 43.72532 -121.31270  0.621 0.844 2.0707e+17 0.05  0.23  0.35 19 141002123909 233
2014 275 10 02 13 05 22.827 43.72478 -121.31147  1.083 0.706 1.2834e+17 0.08  0.41  0.61 13 141002130522 234
2014 275 10 02 14 03 53.248 43.72542 -121.30917  0.783 0.252 2.6746e+16 0.01  0.33  0.54 12 141002140352 235
2014 275 10 02 14 50 41.872 43.72582 -121.30935  0.738 0.303 3.2006e+16 0.02  0.38  0.66 10 141002145041 236
2014 275 10 02 16 12 20.483 43.72585 -121.31157  0.950 0.542 7.2992e+16 0.02  0.34  0.50 12 141002161220 237
2014 275 10 02 16 42  7.281 43.72553 -121.31022  1.011 0.814 1.8643e+17 0.02  0.27  0.41 16 141002164207 238
2014 275 10 02 18 43 19.061 43.72567 -121.30850  0.991 0.040 1.2894e+16 0.03  0.38  0.60 10 141002184319 239
2014 275 10 02 18 53 48.570 43.72507 -121.31280  1.122 0.908 2.5785e+17 0.07  0.30  0.45 17 141002185348 240
